Trail,PPearson,PKendall,PSpearman,OPearson,OKendall,OSpearman
Little Bennett Reg. Pk ,-0.788752,-1.000000,-1.000000,-0.627355,-0.400000,-0.600000
Black Hill Reg. Park ,-0.562042,-0.200000,-0.500000,-0.706267,-0.800000,-0.900000
Seneca Community Pk ,0.702058,0.527046,0.666886,0.787051,0.948683,0.974679
Model Airplane Park ,-0.729608,-0.600000,-0.700000,-0.810085,-0.800000,-0.900000
Ovid Hazen Wells Park ,-0.704987,-0.400000,-0.500000,-0.465531,-0.200000,-0.300000
South Germantown Pk ,-0.519022,-0.200000,-0.300000,-0.497875,0.000000,-0.100000
Woodfield School Rd ,0.798530,0.527046,0.666886,0.627677,0.316228,0.461690
Sundown Park ,-0.553857,-0.600000,-0.700000,-0.024796,0.000000,-0.100000
Bell Bluff Road Park ,0.110617,0.000000,0.100000,0.297133,0.200000,0.300000
Rachel Carson Park ,-0.284520,-0.200000,-0.200000,-0.676652,-0.400000,-0.400000
Hoyles Mill Cons Park ,-0.467102,-0.200000,-0.300000,-0.547915,-0.400000,-0.500000
Woodstock Spec Park ,-0.432284,-0.400000,-0.500000,-0.637249,-0.600000,-0.700000
Lois Green Cons Park ,-0.736225,-0.600000,-0.800000,-0.777406,-0.400000,-0.600000
Great Seneca SVU 2 ,-0.122438,0.000000,0.100000,0.146860,0.200000,0.300000
Ag. Hist. Farm Pk ,0.352719,0.400000,0.500000,0.173935,0.200000,0.300000
Pope Farm ,-0.006009,0.200000,0.200000,-0.638276,-0.400000,-0.400000
Meadowside ,-0.245956,-0.200000,-0.200000,-0.439824,-0.400000,-0.600000
Needwood GC ,0.211747,0.000000,-0.100000,-0.051607,-0.200000,-0.300000
Olney Manor ,-0.387015,-0.358569,-0.335410,-0.666013,-0.597614,-0.782624
Woodlawn ,-0.774880,-0.600000,-0.800000,-0.750552,-0.400000,-0.600000
Wheaton Reg. Park ,-0.237316,-0.200000,-0.200000,-0.710864,-0.400000,-0.600000
Maydale Park ,-0.219204,-0.400000,-0.400000,-0.010731,-0.200000,-0.200000
Columbia Park ,0.807401,0.527046,0.666886,0.575002,0.316228,0.461690
Martin Luther King Pk ,-0.284295,-0.200000,-0.300000,-0.085707,0.000000,-0.100000
Burtonsville Park ,0.115157,0.200000,0.300000,-0.176049,0.000000,-0.100000
Cloverly Park ,-0.117322,0.200000,0.000000,0.333060,0.400000,0.600000
Countryside Park ,-0.622197,-0.400000,-0.500000,-0.647459,-0.200000,-0.300000
Matthew Henson ,0.786113,0.600000,0.800000,0.647817,0.400000,0.600000
